Number: -39, Binary: , Hexadecimal: 
Number: -36, Binary: , Hexadecimal: 
Number: 8, Binary: 1000, Hexadecimal: 8
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 17, Binary: 10001, Hexadecimal: 11
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 5, Binary: 101, Hexadecimal: 5
Number: 39, Binary: 100111, Hexadecimal: 27
Number: 0, Binary: , Hexadecimal: 
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 12, Binary: 1100, Hexadecimal: C
Number: -6, Binary: , Hexadecimal: 
Number: 27, Binary: 11011, Hexadecimal: 1B
Number: -4, Binary: , Hexadecimal: 
Number: -38, Binary: , Hexadecimal: 
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 42, Binary: 101010, Hexadecimal: 2A
Number: -16, Binary: , Hexadecimal: 
Number: -28, Binary: , Hexadecimal: 
Number: 34, Binary: 100010, Hexadecimal: 22
Number: 20, Binary: 10100, Hexadecimal: 14
Number: 0, Binary: , Hexadecimal: 
Number: 25, Binary: 11001, Hexadecimal: 19
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: 3, Binary: 11, Hexadecimal: 3
Number: -46, Binary: , Hexadecimal: 
Number: -46, Binary: , Hexadecimal: 
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 33, Binary: 100001, Hexadecimal: 21
Number: 29, Binary: 11101, Hexadecimal: 1D
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: -5, Binary: , Hexadecimal: 
Number: -36, Binary: , Hexadecimal: 
Number: 12, Binary: 1100, Hexadecimal: C
Number: 45, Binary: 101101, Hexadecimal: 2D
Number: -50, Binary: , Hexadecimal: 
Number: 0, Binary: , Hexadecimal: 
Number: -6, Binary: , Hexadecimal: 
Number: -39, Binary: , Hexadecimal: 
Number: 35, Binary: 100011, Hexadecimal: 23
Number: 26, Binary: 11010, Hexadecimal: 1A
Number: -35, Binary: , Hexadecimal: 
Number: -42, Binary: , Hexadecimal: 
Number: 14, Binary: 1110, Hexadecimal: E
Number: -3, Binary: , Hexadecimal: 
Number: 22, Binary: 10110, Hexadecimal: 16
Number: -47, Binary: , Hexadecimal: 
Number: 12, Binary: 1100, Hexadecimal: C
Number: -17, Binary: , Hexadecimal: 
Number: -31, Binary: , Hexadecimal: 
Number: -25, Binary: , Hexadecimal: 
